film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q15046091,Золушка,Англия,542351353
http://www.wikidata.org/entity/Q15046091,Золушка,Хэмптон-корт,542351353
http://www.wikidata.org/entity/Q15046091,Золушка,Pinewood Studios,542351353
http://www.wikidata.org/entity/Q16970789,Американский снайпер,Лос-Анджелес,547426372
http://www.wikidata.org/entity/Q16970789,Американский снайпер,Калифорния,547426372
http://www.wikidata.org/entity/Q17042878,Люди Икс: Апокалипсис,Монреаль,543934105
http://www.wikidata.org/entity/Q18002795,Выживший,Аргентина,532950503
http://www.wikidata.org/entity/Q18002795,Выживший,Калгари,532950503
http://www.wikidata.org/entity/Q18002795,Выживший,Сьерра-Мадре Западная,532950503
http://www.wikidata.org/entity/Q18002795,Выживший,Kananaskis Country,532950503
http://www.wikidata.org/entity/Q18002795,Выживший,Уайт-Маунтинс,532950503
http://www.wikidata.org/entity/Q18002795,Выживший,Mammoth Studios,532950503
http://www.wikidata.org/entity/Q19590955,Изгой-один. Звёздные войны: Истории,Вади-Рам,532177324
http://www.wikidata.org/entity/Q19590955,Изгой-один. Звёздные войны: Истории,Pinewood Studios,532177324
http://www.wikidata.org/entity/Q19590955,Изгой-один. Звёздные войны: Истории,Кэнэри-Уорф,532177324
http://www.wikidata.org/entity/Q19590955,Изгой-один. Звёздные войны: Истории,Mýrdalssandur,532177324
http://www.wikidata.org/entity/Q19590955,Изгой-один. Звёздные войны: Истории,Лааму,532177324
http://www.wikidata.org/entity/Q19590955,Изгой-один. Звёздные войны: Истории,Elstree Studios,532177324
http://www.wikidata.org/entity/Q19938437,Планета обезьян: Война,Альберта,490664238
http://www.wikidata.org/entity/Q19938437,Планета обезьян: Война,Ванкувер,490664238
http://www.wikidata.org/entity/Q20977110,Звёздные войны: Скайуокер. Восход,Вади-Рам,515202542
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Лос-Анджелес,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Дюнкерк,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Урк,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Лелистад,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Hoogeveen Airport,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Maillé-Brézé,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Calais–Dunkerque Airport,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Swanage railway station,526940665
http://www.wikidata.org/entity/Q21935651,Дюнкерк,Weymouth Port,526940665
http://www.wikidata.org/entity/Q27957869,Мег: Монстр глубины,Китай,530243742
http://www.wikidata.org/entity/Q27957869,Мег: Монстр глубины,Новая Зеландия,530243742
http://www.wikidata.org/entity/Q50143448,Detective Chinatown 2,Нью-Йорк,544061916
